,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,49,49,49,49,Algeria,0.78,1.58,1.02,1.71,0.78,0.92,0.62,0.33,0.85,0.76,0.2,0.24,0.19,0.83,0.75,1.53,0.58,0.57,0.66,0.75,0.36,0.9,1.0,0.51,0.28,0.23,0.27
1,30,30,30,30,Argentina,35.78,30.74,35.13,39.22,42.87,40.35,33.47,39.53,36.52,27.54,33.21,41.84,43.59,37.97,31.69,33.69,37.25,30.06,26.54,29.18,28.77,32.48,29.49,31.68,31.69,29.05,26.14
2,46,46,46,46,Australia,10.08,10.76,10.3,10.78,10.35,9.81,9.39,9.76,8.6,8.71,8.54,8.25,7.93,8.48,8.23,8.92,9.34,8.71,8.17,7.51,8.63,10.44,10.61,13.3,14.92,13.67,16.86
3,6,6,6,6,Belgium,1.67,1.79,1.98,1.8,1.99,2.1,2.0,1.98,2.24,2.36,2.72,2.85,2.76,2.67,3.25,3.93,4.93,5.38,6.79,7.53,8.25,10.64,14.18,15.52,18.44,21.75,17.79
4,31,31,31,31,Brazil,94.5,94.63,94.42,95.25,95.41,94.16,93.56,92.98,92.92,90.04,89.49,84.29,85.74,87.16,86.03,87.12,86.75,88.21,84.27,89.0,84.72,87.12,82.45,76.69,73.08,73.86,81.19
5,27,27,27,27,Canada,62.39,61.42,61.69,61.73,60.41,61.01,63.11,62.36,60.41,61.19,60.61,58.04,59.89,58.92,58.45,59.44,59.44,60.06,61.3,62.71,61.45,62.28,62.73,63.02,62.81,63.16,66.38
6,32,32,32,32,Chile,53.84,70.97,82.69,81.66,74.27,72.41,60.45,62.13,48.17,38.03,48.55,54.26,55.45,50.16,46.9,53.88,55.25,44.16,45.75,48.83,40.2,39.6,36.45,35.67,41.18,43.08,39.08
7,37,37,37,37,China,20.41,18.47,17.58,18.13,18.09,19.21,17.55,17.51,18.06,16.68,16.64,18.96,17.62,15.04,16.22,16.18,15.59,15.26,17.74,17.86,18.83,16.95,20.12,20.45,22.79,24.51,25.75
8,33,33,33,33,Colombia,76.38,75.68,68.67,73.25,78.49,76.4,82.99,71.64,69.75,79.86,75.52,74.34,76.5,78.79,81.65,80.17,80.6,81.53,84.01,72.88,72.12,83.47,79.55,74.0,74.25,77.65,82.04
9,8,8,8,8,France,14.1,13.97,16.12,14.79,17.45,15.89,14.16,13.92,13.45,15.21,13.74,14.92,12.46,12.07,12.07,10.62,11.79,12.57,13.69,13.93,14.59,12.37,15.54,17.79,17.27,16.57,18.13
10,9,9,9,9,Germany,3.9,3.85,4.38,4.62,5.18,5.66,5.62,4.82,5.2,5.84,6.89,7.23,8.39,8.34,10.2,11.13,12.26,14.87,15.5,16.87,17.57,21.14,23.75,24.76,26.82,29.88,30.05
11,38,38,38,38,India,24.49,22.81,20.75,19.56,21.22,17.26,15.77,16.02,16.7,15.26,13.59,13.21,12.06,13.47,14.48,16.62,17.54,17.86,16.51,15.66,16.04,17.32,15.73,16.85,15.41,14.75,14.95
12,39,39,39,39,Indonesia,20.92,20.56,23.84,19.78,15.66,16.46,15.53,10.34,15.77,14.12,15.96,17.47,14.95,13.64,13.61,13.61,12.26,12.9,13.32,13.23,15.85,11.99,11.24,12.34,11.44,10.97,10.89
13,10,10,10,10,Italy,17.71,22.05,21.81,21.67,22.14,18.88,20.97,20.34,20.25,21.73,20.81,22.03,19.65,18.54,20.25,18.21,18.17,17.01,19.98,25.14,26.57,28.06,31.48,39.31,43.74,38.15,37.27
14,40,40,40,40,Japan,12.16,12.86,11.04,12.62,8.93,10.41,10.1,10.94,10.98,10.17,10.07,9.94,9.64,10.98,10.7,9.2,10.23,9.01,9.37,9.73,11.2,12.17,11.88,12.78,14.45,16.93,17.44
15,21,21,21,21,Kazakhstan,8.43,8.37,8.3,9.85,13.82,12.5,12.42,12.5,12.5,12.91,14.67,14.21,15.24,13.5,12.04,11.58,10.84,10.67,9.29,8.74,9.71,9.1,8.23,7.51,7.88,7.83,7.65
16,55,55,55,55,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,41,41,41,41,Malaysia,17.33,16.6,14.87,14.03,16.69,13.69,10.09,6.69,8.0,11.54,10.06,9.93,7.14,6.44,7.09,6.28,7.17,6.66,7.63,7.01,5.99,6.71,7.38,8.58,9.71,10.36,11.37
18,34,34,34,34,Mexico,24.69,22.39,25.66,25.4,19.02,23.65,24.66,19.96,17.59,20.91,19.8,17.11,15.06,12.13,14.45,15.18,15.32,14.07,17.54,12.95,16.6,14.89,13.79,13.3,17.54,15.17,14.74
19,11,11,11,11,Netherlands,1.12,1.26,1.29,1.44,1.58,1.73,2.13,2.33,2.56,2.89,3.32,3.53,4.14,4.09,5.24,7.45,8.15,7.21,8.86,9.53,9.39,10.81,12.11,11.98,11.32,12.42,13.46
20,47,47,47,47,New Zealand,80.01,77.19,72.59,77.02,82.05,83.85,79.06,70.09,75.65,69.52,71.5,63.56,69.48,66.0,71.86,64.24,64.48,65.57,64.24,71.71,73.16,76.04,71.86,74.26,79.12,80.09,83.99
21,51,51,51,51,Nigeria,32.59,41.86,40.85,38.41,35.81,34.68,33.86,34.7,38.22,38.21,38.22,38.22,38.22,36.9,33.4,33.0,27.1,27.1,27.1,22.9,24.4,21.76,19.71,18.44,17.59,17.59,17.59
22,18,18,18,18,Norway,99.79,99.8,99.82,99.8,99.65,99.66,99.5,99.58,99.62,99.56,99.72,99.52,99.58,99.4,99.35,99.47,99.32,99.14,99.41,96.59,95.75,96.53,97.97,97.72,97.7,97.74,97.87
23,12,12,12,12,Poland,2.47,2.59,2.77,2.72,2.83,2.82,2.82,2.79,3.19,3.15,2.99,3.21,3.05,2.55,3.12,3.46,3.26,3.78,4.64,6.11,7.27,8.3,10.67,10.71,12.82,14.29,15.45
24,13,13,13,13,Portugal,35.08,33.45,19.83,30.94,37.24,28.56,46.02,41.81,36.49,20.78,30.3,34.58,22.1,38.49,27.92,18.57,33.01,35.08,32.93,37.88,53.16,47.06,43.78,59.24,61.37,48.45,55.15
25,14,14,14,14,Romania,17.74,25.68,21.59,23.02,23.66,28.17,25.68,30.66,35.31,36.07,28.46,27.7,29.32,24.05,29.23,34.02,29.28,25.95,26.52,27.28,33.88,26.57,25.74,34.81,42.03,42.85,46.2
26,56,56,56,56,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,52,52,52,52,South Africa,1.7,2.25,1.24,0.85,1.43,0.97,1.78,2.3,2.07,1.73,2.01,2.01,2.11,1.69,2.0,1.83,2.41,1.57,1.65,1.78,2.07,2.04,1.78,1.8,2.6,3.27,4.18
28,15,15,15,15,Spain,17.61,18.52,13.62,16.89,18.54,15.48,24.27,20.07,19.83,14.35,16.95,22.15,15.61,22.7,19.12,15.95,18.71,20.16,20.69,26.08,33.49,30.57,30.44,40.47,40.92,36.07,40.08
29,16,16,16,16,Sweden,51.18,44.46,52.51,53.11,43.17,47.6,38.42,48.29,49.2,48.28,57.26,51.57,48.51,43.41,44.97,51.32,49.65,52.06,54.35,58.46,55.33,55.98,59.1,54.07,55.87,63.46,57.22
30,44,44,44,44,Thailand,11.26,9.14,7.42,5.84,6.34,8.74,9.13,8.09,6.11,4.89,6.81,6.64,7.48,7.22,5.82,5.54,6.92,6.91,6.6,6.9,5.61,8.05,8.39,8.28,9.08,8.55,9.16
31,19,19,19,19,Turkey,40.37,37.85,39.63,46.18,39.22,41.57,42.94,38.91,38.33,29.98,24.94,19.84,26.25,25.29,30.73,24.54,25.25,19.03,17.35,19.58,26.38,25.33,27.23,28.82,20.89,32.05,32.53
32,23,23,23,23,Ukraine,3.59,4.28,3.2,4.89,6.07,5.23,4.83,5.64,9.21,8.43,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.39,6.14,6.98,7.1,5.74,5.91,8.12,6.02,5.13,6.54
33,57,57,57,57,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.26,0.23
34,17,17,17,17,United Kingdom,2.44,2.12,2.52,2.21,2.58,2.52,2.06,2.4,2.83,3.4,3.36,3.11,3.56,3.36,4.26,4.99,5.53,5.93,6.66,7.67,7.62,10.36,12.3,15.81,20.12,25.73,25.6
35,28,28,28,28,United States,11.96,11.33,10.48,11.0,10.31,11.39,12.2,11.59,10.22,9.63,8.81,7.42,9.2,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.58,15.42
36,24,24,24,24,Uzbekistan,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.54,12.55,12.54,12.55,12.55,15.43,18.02,17.54,17.99,13.07,23.0,18.68,20.98,19.54,21.35,21.33,21.35,21.02,20.97
37,0,0,0,0,World,19.74,19.66,19.59,20.21,19.96,20.28,19.97,19.84,19.49,19.11,18.79,18.31,18.23,17.82,18.23,18.36,18.5,18.23,18.89,19.65,19.91,20.26,21.2,21.97,22.66,23.33,24.38
