,Unnamed: 0,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,Algeria,,,,,,,,,,,,35.62,34.44,33.39,34.84,37.79,37.33,39.84,42.75,45.68,46.3,48.08,51.73,54.57,50.05,46.7,50.0,47.9,50.6,50.68,45.13,44.0,43.79,44.6,45.7,46.75,46.87,49.5,48.29,48.1,47.44,47.92,47.38,45.19,43.27,42.08,42.4,40.01,40.03,38.83,37.92,38.87,39.87,38.43,38.83,,,
1,1,Argentina,,,,,,,,,,,,35.47,37.05,35.27,32.92,33.18,33.19,34.8,32.67,33.2,32.09,31.24,30.48,31.13,29.3,29.4,35.87,33.91,39.53,39.22,34.51,36.47,35.39,31.74,28.26,29.15,30.25,28.65,29.14,31.87,32.3,30.27,30.1,30.83,31.94,31.79,31.7,33.82,34.45,36.19,35.89,36.89,38.5,37.4,38.04,,,
2,2,Australia,33.87,34.28,35.69,35.58,36.27,36.89,38.65,38.57,38.09,37.94,38.59,37.76,39.96,38.5,44.55,45.43,46.1,47.65,46.53,46.52,48.86,50.41,51.87,52.11,51.78,52.74,52.36,53.33,53.75,54.83,55.0,55.67,55.74,55.46,55.25,55.41,56.1,56.14,58.8,59.06,58.85,59.92,62.7,60.87,61.32,62.1,62.51,62.68,62.06,63.32,62.92,61.55,60.9,59.38,58.36,,,
3,3,Belgium,32.39,31.42,30.25,29.25,31.44,29.2,30.15,29.49,27.69,26.89,25.0,27.26,28.1,29.11,32.33,28.6,31.0,31.3,30.91,31.81,33.81,34.63,33.51,32.27,30.77,26.8,25.14,26.3,27.61,28.41,29.8,28.99,28.72,29.15,29.89,29.71,28.31,27.65,28.44,26.51,27.38,25.54,27.4,27.2,26.95,27.99,28.32,29.39,26.72,26.16,27.51,27.86,27.66,25.41,25.85,,,
4,4,Brazil,,,,,,,,,,,,14.49,12.34,12.0,11.39,11.18,10.6,11.03,12.27,11.79,12.08,13.44,13.06,13.75,15.49,15.21,17.94,16.95,16.28,15.26,15.2,14.65,15.21,14.83,14.19,13.79,13.73,14.47,14.34,16.22,17.12,18.29,16.74,17.14,17.97,18.62,18.5,17.43,19.67,17.69,18.65,16.16,19.36,23.48,26.31,,,
5,5,Canada,13.13,14.13,15.99,17.26,17.99,19.22,19.74,20.55,22.05,22.2,22.21,23.4,22.91,22.87,21.5,23.22,23.29,24.68,25.06,24.49,25.34,25.59,28.07,29.75,31.03,30.57,29.93,31.61,32.91,33.46,32.9,33.59,34.23,32.47,32.38,32.82,32.11,33.7,36.23,35.82,36.62,38.2,37.64,38.05,36.49,37.73,37.66,38.74,39.63,39.55,39.87,38.82,39.31,39.35,38.73,,,
6,6,Chile,,,,,,,,,,,,30.0,27.23,26.55,26.29,27.24,28.17,27.58,27.5,30.5,29.81,29.12,27.48,27.3,28.55,27.17,24.78,24.34,27.5,32.4,36.05,29.51,24.28,23.13,27.1,27.2,32.42,31.89,37.18,40.23,34.05,31.38,33.22,35.35,39.13,38.26,37.48,41.8,43.36,42.0,40.03,43.12,47.86,46.88,43.02,,,
7,7,China,,,,,,,,,,,,17.37,17.69,18.47,17.99,18.57,18.54,18.47,21.8,23.3,26.2,25.94,25.59,25.38,25.3,27.55,28.19,29.19,30.39,33.13,34.94,36.32,38.47,40.13,41.88,41.07,46.32,45.69,46.99,49.4,51.04,51.23,52.62,53.76,50.29,50.23,51.58,51.33,50.16,50.37,51.57,52.39,52.53,53.16,52.25,,,
8,8,Colombia,,,,,,,,,,,,23.25,22.33,23.24,21.42,19.37,20.02,20.5,24.45,25.74,25.89,27.66,28.21,29.12,29.06,29.44,29.38,27.6,27.81,26.41,26.85,26.89,27.16,26.72,23.6,25.53,22.0,24.73,27.67,24.05,25.38,25.55,25.58,26.33,23.88,24.21,23.06,22.95,19.92,30.0,28.77,20.69,23.2,26.6,26.91,,,
9,9,France,25.58,26.49,26.78,23.65,27.22,24.23,23.45,24.19,22.46,22.84,24.27,25.89,25.36,27.2,27.62,27.49,31.33,29.75,28.58,30.12,30.12,27.19,28.38,25.49,22.3,20.16,16.95,15.87,16.68,19.59,18.43,20.03,17.68,15.07,15.08,16.27,16.69,16.02,19.03,17.69,19.05,17.07,17.91,18.45,18.23,19.84,19.26,20.34,19.71,19.54,20.32,18.32,17.43,16.99,13.8,,,
10,10,Germany,33.62,33.85,33.23,32.85,34.02,33.92,33.71,33.7,34.68,35.11,37.41,39.03,39.45,39.0,40.65,39.89,41.31,41.05,41.19,41.37,43.15,43.92,44.8,44.59,44.12,42.63,42.71,42.45,43.03,44.49,43.83,44.63,44.77,44.11,44.83,44.31,43.99,43.79,44.2,44.08,44.84,45.39,46.33,46.84,47.19,47.76,47.57,51.18,48.06,47.67,47.68,48.47,49.0,48.45,48.47,,,
11,11,India,,,,,,,,,,,,21.55,23.08,23.88,26.29,26.91,28.4,27.45,25.03,26.94,31.02,32.09,33.56,35.27,34.48,38.09,39.82,42.35,42.11,43.01,43.75,45.29,46.79,49.4,48.78,51.62,52.46,51.53,52.73,53.74,55.21,55.87,54.93,56.26,56.89,55.56,55.53,55.45,53.62,52.29,51.5,51.76,53.44,52.32,53.61,,,
12,12,Indonesia,,,,,,,,,,,,21.94,23.01,26.82,24.51,18.79,16.29,20.71,18.93,17.94,17.71,17.6,19.02,19.29,24.46,24.76,26.63,28.6,27.72,26.88,35.65,37.37,36.81,37.81,35.75,36.37,36.13,37.55,40.56,36.42,34.99,36.44,39.0,39.34,37.86,38.95,38.27,39.17,40.29,40.5,40.33,43.87,43.14,42.07,44.25,,,
13,13,Italy,15.78,20.04,21.87,19.43,23.47,23.29,24.5,26.31,26.25,27.01,25.46,26.18,26.38,28.17,29.45,29.19,31.0,30.72,31.91,32.05,33.89,34.5,34.88,34.64,33.49,33.52,34.34,35.31,35.31,36.06,36.84,35.79,35.83,35.24,36.32,37.41,36.52,36.8,36.79,35.29,36.36,35.51,37.2,36.94,39.19,38.94,40.01,40.65,40.47,38.41,39.06,39.57,39.28,36.33,35.56,,,
14,14,Japan,32.67,33.04,34.61,34.57,34.58,35.08,34.41,34.71,34.93,35.12,38.0,37.72,37.62,39.65,39.35,39.6,39.56,41.65,41.49,41.01,39.89,40.11,39.34,39.66,40.57,39.68,39.47,39.34,40.02,40.31,42.62,42.65,42.97,41.84,43.96,42.65,42.59,42.64,43.29,43.89,44.43,44.07,45.41,46.8,46.49,46.91,46.51,49.83,50.01,48.72,49.71,51.71,53.62,53.85,53.1,,,
15,15,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.57,46.33,44.35,47.35,54.09,46.97,48.89,47.43,47.68,50.71,63.74,61.74,71.55,69.24,66.31,63.2,68.62,61.56,53.11,55.9,55.92,53.89,56.07,57.09,63.27,,,
16,16,Kuwait,,,,,,,,,,,,43.05,43.5,43.2,44.37,46.62,47.66,47.93,47.3,48.26,44.19,41.43,42.53,43.54,46.94,46.11,46.18,44.97,41.46,38.61,74.6,62.11,54.52,56.86,64.74,63.98,66.83,68.43,67.48,72.4,69.82,72.94,74.07,70.29,71.72,68.94,69.85,71.83,71.64,71.91,69.48,69.73,69.55,69.49,67.39,,,
17,17,Malaysia,,,,,,,,,,,,16.58,20.57,22.81,22.32,25.11,27.42,31.14,35.7,34.82,34.23,32.27,34.68,35.01,35.84,38.78,36.84,35.28,36.2,35.52,38.27,44.15,41.49,44.01,43.07,43.63,42.09,43.2,45.93,45.76,45.81,45.54,45.61,46.02,46.41,48.38,49.21,48.47,51.11,54.13,56.1,57.7,56.41,54.42,54.04,,,
18,18,Mexico,,,,,,,,,,,,25.31,27.58,29.82,29.68,26.53,26.12,28.85,28.82,28.54,30.57,28.73,30.63,30.77,32.55,33.17,36.56,35.9,36.97,36.74,36.68,38.74,38.69,39.98,42.17,41.84,41.77,43.8,45.97,45.47,46.81,47.85,47.44,48.0,46.35,46.25,44.39,44.51,42.6,45.33,44.05,44.68,46.01,44.65,44.07,,,
19,19,Netherlands,33.0,32.8,30.66,28.49,30.02,30.38,30.58,30.68,30.06,28.63,33.5,33.35,31.91,31.61,32.86,32.29,30.55,31.73,31.32,32.36,34.12,34.74,35.41,32.83,33.68,33.07,35.24,35.52,39.28,40.16,40.86,38.79,40.61,40.37,41.92,40.18,38.55,41.07,42.43,40.64,41.41,42.02,42.49,42.46,42.94,42.58,40.58,43.12,42.3,42.62,41.73,42.77,41.5,41.58,45.85,,,
20,20,New Zealand,10.04,9.75,5.87,9.67,8.88,6.53,6.81,6.24,5.91,10.99,11.99,10.89,13.38,19.22,19.84,14.85,21.62,23.88,22.52,15.46,12.99,15.14,21.79,23.81,22.99,25.13,20.47,23.21,21.41,20.94,20.79,22.35,25.59,22.8,19.65,18.14,21.13,27.26,26.02,28.85,27.27,30.73,27.8,30.88,30.34,34.99,34.77,31.25,33.0,29.38,27.97,27.02,29.86,26.68,23.72,,,
21,21,Nigeria,,,,,,,,,,,,16.84,18.42,18.43,19.02,19.89,17.65,14.69,13.59,15.76,19.92,22.2,23.24,24.24,24.87,27.82,28.59,29.36,27.36,27.22,29.4,29.45,28.88,32.25,34.47,33.14,31.86,29.22,30.22,31.75,31.33,28.46,29.32,24.4,28.51,29.96,32.95,35.81,32.71,34.97,34.1,36.23,37.34,36.82,39.06,,,
22,22,Norway,1.77,1.73,1.08,1.4,1.15,0.87,1.11,1.63,1.69,2.07,2.38,2.31,1.91,1.88,3.04,5.55,7.42,9.14,11.26,9.8,12.12,12.84,14.27,16.8,15.85,17.11,22.65,19.15,21.38,22.48,26.62,26.86,35.67,37.29,37.5,33.92,30.75,35.8,37.01,38.43,31.16,32.39,32.98,33.09,33.05,34.01,34.19,34.58,34.62,37.96,36.77,36.94,36.53,34.81,36.48,,,
23,23,Poland,42.27,44.39,43.94,44.54,45.55,46.42,48.0,49.36,51.48,51.28,50.18,51.91,52.78,53.42,54.13,53.68,54.3,55.06,56.71,57.84,57.62,57.32,57.29,59.67,60.26,60.07,58.53,58.35,57.62,59.4,66.4,64.41,63.47,59.41,60.18,55.76,55.18,55.26,57.77,57.73,59.49,60.27,59.43,60.13,58.84,58.52,58.1,57.32,56.54,55.96,54.93,55.92,55.41,56.4,55.61,,,
24,24,Portugal,9.05,7.75,11.11,9.64,13.24,15.23,8.76,10.67,17.03,15.0,19.45,22.52,20.7,21.12,22.15,24.86,27.46,20.53,20.15,24.41,27.42,31.52,29.77,33.41,31.0,28.6,37.44,34.63,32.24,45.25,43.53,43.25,46.48,44.54,43.11,46.36,39.02,39.8,40.71,45.45,41.58,41.32,43.9,40.72,41.66,45.58,43.36,40.59,41.33,42.84,36.72,40.69,44.31,42.97,41.11,,,
25,25,Romania,,,,,,,,,,,,38.52,39.97,39.93,41.66,35.01,36.46,35.31,33.04,30.01,23.02,31.77,31.73,33.51,34.61,37.75,40.08,37.98,39.28,43.91,47.19,48.86,68.88,71.5,62.02,59.27,59.24,57.37,57.03,57.68,57.39,56.16,54.72,55.9,52.82,52.48,53.04,53.17,52.75,52.47,51.85,54.07,50.66,46.22,45.58,,,
26,26,Saudi Arabia,,,,,,,,,,,,53.75,51.98,50.28,52.38,50.91,53.59,49.61,41.64,36.69,38.09,38.19,39.3,37.45,46.38,50.23,53.57,54.22,54.01,55.24,46.98,47.46,47.57,49.26,47.19,49.35,47.96,50.08,50.0,49.74,50.05,50.33,49.1,49.47,49.76,50.49,49.76,47.38,47.27,48.1,47.14,47.94,47.99,48.23,49.16,,,
27,27,South Africa,,,,,,,,,,,,42.74,43.65,44.4,47.13,48.7,49.36,49.6,43.5,46.33,47.64,49.35,53.08,56.03,56.75,56.99,57.87,59.24,57.24,58.85,59.81,60.91,62.74,64.87,65.05,65.25,65.82,65.96,66.58,67.24,68.43,71.83,70.54,70.55,69.61,67.43,67.44,67.84,69.32,63.99,70.38,69.1,68.08,66.47,67.48,,,
28,28,Spain,14.79,17.06,17.47,14.93,19.32,19.67,20.1,23.95,28.53,24.69,24.9,24.06,26.15,26.05,29.87,32.74,35.62,31.94,30.69,30.77,38.2,41.11,42.43,42.32,40.05,38.38,39.71,39.19,33.84,39.0,38.48,37.65,40.02,37.58,36.95,39.12,35.23,37.81,36.54,40.43,39.79,37.03,39.92,37.08,37.84,39.09,39.63,40.4,38.77,37.62,33.65,38.25,41.98,36.54,37.41,,,
29,29,Sweden,7.01,4.02,3.48,4.03,3.16,3.12,4.64,4.11,5.36,9.77,15.89,12.59,12.95,10.27,13.1,8.32,11.31,12.08,13.54,14.59,14.52,11.89,13.53,14.49,18.36,23.3,22.63,22.65,19.88,18.5,18.77,22.49,20.92,21.44,21.65,20.56,25.91,21.22,22.5,20.76,18.72,20.49,22.04,23.93,23.66,22.75,24.39,21.93,23.59,25.47,28.02,24.33,24.5,24.59,24.24,,,
30,30,Thailand,,,,,,,,,,,,18.35,20.96,21.87,21.71,21.52,22.85,25.8,30.13,28.43,34.78,32.57,30.59,31.31,30.69,34.78,33.66,35.1,35.3,33.67,38.03,41.24,41.25,39.61,39.15,37.79,38.55,40.45,42.77,41.01,42.21,42.23,41.14,41.1,41.24,42.28,42.82,45.87,46.14,42.78,43.89,44.07,44.43,46.39,46.6,,,
31,31,Turkey,19.74,19.68,21.64,16.21,21.67,22.82,24.84,22.72,23.27,26.8,26.29,24.66,22.59,23.79,25.23,24.62,24.27,24.18,23.98,25.03,23.17,25.09,24.4,25.42,27.03,30.73,34.42,29.23,24.69,31.06,30.74,31.56,33.1,32.04,36.36,34.01,34.17,35.75,38.15,40.6,37.23,41.97,37.1,35.6,35.57,37.55,37.68,40.09,43.19,43.71,42.6,43.28,41.74,42.71,46.69,,,
32,32,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.88,49.02,48.24,52.79,53.68,51.58,47.98,47.03,48.03,47.82,47.51,45.48,44.95,46.4,41.8,47.08,45.78,45.16,46.4,48.4,48.77,49.3,51.21,51.01,49.97,,,
33,33,United Arab Emirates,,,,,,,,,,,,6.1,13.18,16.41,20.77,20.53,22.45,21.79,25.63,28.09,27.26,25.68,28.79,33.21,28.14,27.51,25.99,24.92,26.29,24.09,26.32,23.52,26.37,28.8,28.76,29.01,29.56,30.38,32.6,34.9,38.83,36.95,40.05,42.39,47.57,48.0,49.47,45.9,46.56,40.34,40.05,38.68,39.89,39.11,41.52,,,
34,34,United Kingdom,34.86,36.19,37.0,37.99,38.86,39.05,40.27,39.71,38.31,39.62,40.89,43.07,42.6,43.51,43.0,43.06,43.58,43.53,44.57,44.79,46.02,45.12,44.29,44.31,43.18,43.57,44.03,44.31,43.34,43.95,44.97,43.96,44.88,42.3,41.78,42.05,41.84,41.22,41.93,41.96,43.28,43.78,44.22,45.34,44.92,45.77,46.67,46.46,45.63,44.39,43.81,44.96,45.85,44.05,41.93,,,
35,35,United States,27.64,28.02,28.33,29.13,29.14,30.14,30.74,29.02,30.03,31.37,32.49,33.0,34.31,35.55,36.05,36.28,36.59,37.61,37.19,37.49,39.08,39.78,40.13,41.19,40.9,41.53,41.56,42.04,41.97,43.39,44.97,45.74,47.07,47.16,46.99,47.77,47.88,48.93,49.31,48.63,48.11,48.46,48.24,48.26,48.2,48.94,48.61,49.05,49.34,48.61,48.8,48.23,46.95,46.63,45.99,,,
36,36,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,39.76,43.41,42.0,39.24,37.83,39.71,39.48,36.64,35.7,36.37,36.58,36.2,36.61,36.93,37.83,37.92,37.73,35.11,39.57,40.59,38.68,37.6,42.31,42.45,,,
37,37,World,28.56,29.13,29.42,29.58,30.21,30.61,31.03,30.3,30.84,31.72,32.99,31.85,32.47,33.34,33.82,33.63,34.23,34.62,34.59,34.88,36.2,36.54,36.86,37.27,37.22,37.68,38.0,38.28,38.49,39.72,43.32,43.76,44.81,44.79,45.1,44.8,45.55,45.81,46.5,46.52,47.08,47.41,47.84,48.4,47.78,48.15,48.56,48.82,48.43,48.29,48.77,49.29,49.47,49.37,49.04,,,
